floor1,prob_reach_floor1,prob_complete_after_floor1,floor1_2,prob_reach_floor1_2,prob_complete_after_floor1_2,floor1_2_3,prob_reach_floor1_2_3,prob_complete_after_floor1_2_3,total,,,floor1,floor1_2,floor1_2_3
532,0.04445,0.0650518092384121,976,0.00413,0.222069344736618,1500,0.00004,0.92237,2262,,,,,
518,0.01168,0.10004136818048,1007,0.04063,0.0924632563358347,1581,0.01451,0.30552,2273,,,,,
525,0.02404,0.0811894600154765,987,0.01072,0.168078041112085,1576,0.01156,0.35135,2258,,,,,
508,0.00337,0.131952420111913,984,0.00842,0.181956995921733,1590,0.02181,0.22131,2292,,,,,
532,0.04445,0.0650518092384121,971,0.00265,0.249302393440592,1540,0.00148,0.68798,2274,,,,,
521,0.0161,0.0916192212193727,1001,0.02824,0.112061372533792,1595,0.02733,0.18542,2267,,,,,
525,0.02404,0.0811894600154765,993,0.01686,0.142294634451345,1530,0.00071,0.76669,2283,,,,,
532,0.04445,0.0650518092384121,972,0.00288,0.243730083452166,1554,0.00333,0.55197,2276,,,,,
534,0.05189,0.0609139459038858,992,0.01566,0.146407280295055,1559,0.00431,0.50272,2286,,,,,
522,0.01782,0.0889269333334436,974,0.00342,0.232771926407453,1543,0.00177,0.68419,2198,,,,,
510,0.00442,0.125090875668474,996,0.02071,0.130401825468926,1576,0.01156,0.35135,2273,,,,,
530,0.0376,0.0693959347613141,1012,0.05445,0.0780802025093691,1568,0.00757,0.44727,2289,,,,,
498,0.00064,0.169885495824953,982,0.00715,0.19156813642142,1542,0.00171,0.68557,2279,,,,,
521,0.0161,0.0916192212193727,991,0.01452,0.150594000985042,1590,0.02181,0.22131,2252,,,,,
527,0.02903,0.0763092778586665,991,0.01452,0.150594000985042,1569,0.00803,0.40304,2251,,,,,
531,0.04096,0.0671977840691001,983,0.00772,0.186727058016664,1560,0.00466,0.50116,2267,,,,,
